Frame,X,Y
490,-54,183
491,-53,184
492,-46,183
493,-39,181
494,-33,176
495,-32,172
496,-34,176
497,-36,185
498,-35,202
499,-33,210
500,-29,221
501,-22,229
502,-13,230
503,-5,221
504,0,211
505,3,205
506,0,200
507,-18,189
508,-26,183
509,-38,184
510,-59,192
511,-62,192
512,-47,186
513,-42,180
514,-35,173
515,-25,174
516,-16,182
517,-24,193
518,-15,204
519,-19,214
520,-19,221
521,-17,219
522,-14,213
523,-10,207
524,-5,203
525,-3,200
526,-11,196
527,-19,192
528,-21,190
529,-13,185
530,-18,179
531,-22,173
532,-25,171
533,-25,172
534,-23,172
535,-20,172
536,-17,176
537,-13,183
538,-23,192
539,-23,196
540,-15,201
541,-17,203
542,-16,203
543,-12,202
544,-7,204
545,-2,207
546,0,206
547,-1,200
548,-8,186
549,-7,177
550,-8,172
551,-10,166
552,-14,162
553,-17,163
554,-18,164
555,-17,163
556,-14,159
557,-14,160
558,-17,166
559,-22,175
560,-26,184
561,-39,193
562,-24,202
563,-17,209
564,-8,215
565,4,215
566,16,210
567,26,206
568,33,203
569,35,198
570,28,186
571,17,167
572,-2,154
573,-21,152
574,-36,156
575,-43,159
576,-43,158
577,-39,157
578,-33,158
579,-27,166
580,-22,179
581,-30,191
582,-28,195
583,-15,199
584,-9,204
585,-3,210
586,4,212
587,7,208
588,6,200
589,-5,192
590,-4,192
591,3,186
592,3,177
593,-2,166
594,-8,159
595,-13,156
596,-18,147
597,-22,139
598,-23,143
599,-21,156
600,-22,168
601,-26,176
602,-28,184
603,-25,202
604,-19,210
605,-10,214
606,-1,210
607,8,205
608,16,204
609,20,203
610,14,197
611,8,186
612,3,173
613,-6,164
614,-17,161
615,-26,165
616,-34,164
617,-37,159
618,-34,152
619,-25,150
620,-15,158
621,-9,171
622,-9,183
623,-26,192
624,-31,196
625,-34,197
626,-34,195
627,-31,191
628,-25,191
629,-21,194
630,-9,198
631,-15,197
632,-19,192
633,-9,181
634,-11,170
635,-16,160
636,-22,153
637,-28,149
638,-34,144
639,-36,143
640,-35,153
641,-31,170
642,-27,182
643,-26,186
644,-43,192
645,-46,194
646,-46,194
647,-45,191
648,-31,186
649,-39,194
650,-20,207
651,-15,212
652,-15,208
653,-17,201
654,-23,183
655,-27,173
656,-32,162
657,-38,155
658,-44,154
659,-48,159
660,-47,169
661,-42,178
662,-38,185
663,-46,191
664,-45,193
665,-48,192
666,-40,186
667,-44,182
668,-48,185
669,-62,193
670,-62,197
671,-48,206
672,-46,212
673,-44,214
674,-42,210
675,-43,203
676,-58,194
677,-49,186
678,-51,183
679,-53,181
680,-54,180
681,-54,184
682,-65,193
