Frame,X,Y
0,24,156
1,16,150
2,16,135
3,24,116
4,30,96
5,31,80
6,30,72
7,35,70
8,50,78
9,63,91
10,60,106
11,50,117
12,37,122
13,23,123
14,11,122
15,2,120
16,-1,117
17,4,110
18,14,100
19,23,93
20,27,92
21,29,95
22,33,101
23,36,111
24,31,127
25,22,142
26,16,150
27,13,144
28,18,126
29,26,106
30,32,89
31,37,79
32,41,76
33,49,76
34,64,86
35,66,102
36,60,121
37,51,134
38,41,138
39,29,135
40,15,126
41,3,114
42,0,101
43,6,89
44,16,82
45,25,82
46,31,83
47,34,87
48,34,95
49,32,108
50,25,125
51,20,140
52,19,142
53,19,132
54,22,115
55,23,99
56,25,88
57,29,80
58,38,77
59,49,79
60,60,85
61,63,96
62,60,111
63,52,125
64,42,134
65,32,136
66,21,134
67,13,127
68,10,115
69,14,102
70,21,93
71,26,87
72,31,84
73,35,83
74,39,86
75,39,97
76,33,113
77,28,128
78,25,134
79,25,126
80,25,112
81,25,96
82,27,82
83,30,74
84,36,75
85,44,78
86,51,87
87,56,98
88,57,108
89,52,112
90,45,120
91,35,127
92,26,128
93,22,125
94,23,118
95,27,110
96,29,103
97,31,101
98,33,101
99,38,103
100,41,107
101,38,115
102,31,118
103,24,117
104,22,113
105,23,106
106,25,100
107,27,92
108,30,84
109,37,79
110,43,81
111,49,87
112,54,99
113,57,110
114,55,117
115,48,121
116,36,122
117,21,120
118,10,115
119,7,108
120,11,104
121,19,100
122,26,98
123,32,96
124,39,100
125,43,111
126,39,125
127,31,129
128,27,122
129,27,109
130,27,96
131,24,82
132,23,73
133,25,69
134,32,66
135,42,68
136,50,76
137,58,89
138,56,102
139,51,115
140,44,123
141,36,123
142,30,117
143,28,109
144,28,100
145,29,95
146,32,94
147,36,99
148,40,104
149,44,110
150,45,118
151,41,124
152,33,122
153,26,112
154,24,97
155,22,80
156,16,68
157,11,59
158,15,58
159,24,57
160,32,61
161,37,71
162,43,83
163,43,95
164,40,105
165,34,111
166,27,114
167,23,114
168,25,111
169,28,107
170,31,105
171,31,105
172,32,110
173,33,117
174,37,126
175,37,135
176,34,141
177,28,139
178,22,128
179,19,112
180,18,95
181,17,79
182,18,71
183,22,70
184,30,74
185,37,78
186,38,85
187,37,96
188,34,105
189,31,110
190,27,112
191,22,115
192,16,117
193,13,117
194,16,115
195,20,113
196,23,110
197,25,107
198,27,107
199,31,112
200,35,122
201,35,136
202,32,146
203,26,149
204,21,144
205,19,133
206,16,121
207,15,110
208,16,102
209,19,96
210,27,92
211,35,90
212,40,94
213,38,103
214,33,115
215,27,126
216,22,133
217,17,137
218,13,135
219,12,133
220,13,130
221,17,129
222,20,127
223,22,127
224,24,129
225,25,133
226,25,139
227,25,146
228,23,156
229,22,161
230,20,160
231,19,151
232,19,141
233,17,133
234,16,127
235,17,124
236,19,123
237,21,121
238,21,119
239,21,121
240,21,126
241,19,132
242,18,136
243,18,139
244,18,140
245,17,140
246,16,142
247,15,142
248,16,141
249,17,139
250,18,139
251,19,142
252,17,148
253,15,155
254,14,157
255,16,157
256,20,158
257,22,157
258,22,154
259,23,148
260,25,144
261,25,141
262,23,141
263,18,142
264,14,140
265,15,140
266,20,139
267,23,138
268,23,136
269,22,134
270,21,133
271,22,135
272,22,140
273,19,145
274,16,148
275,13,146
276,12,144
277,10,140
278,7,138
279,7,137
280,11,137
281,13,139
282,16,140
283,17,140
284,19,142
285,22,147
286,24,153
287,22,159
288,18,163
289,13,164
290,12,161
291,12,155
292,14,148
293,17,142
294,19,138
295,22,133
296,27,129
297,32,126
298,35,129
299,34,134
300,31,141
301,26,148
302,20,153
303,12,155
304,4,152
305,-2,147
306,-2,141
307,2,135
308,9,128
309,17,122
310,24,118
311,29,120
312,29,128
313,24,137
314,19,146
315,16,153
316,14,156
317,14,156
318,13,153
319,13,151
320,12,148
321,13,145
322,16,140
323,19,135
324,23,132
